awardtitle,awardeffectivedate,awardexpirationdate,awardamount,awardinstrument,minamdletterdate,maxamdletterdate,arraamount,awardid,programofficer,organizationcode,organizationdirectorate,organizationdivision,institutionname,institutioncityname,institutionzipcode,institutionphonenumber,institutionstreetaddress,institutioncountryname,institutionstatename,institutionstatecode
Collaborative Research: Intentionally Nonlinear Design of High-frequency Atomic Force Microscopy for Enhanced Material Characterization,09/01/2015,03/31/2018,200648,Standard Grant,12/08/2015,12/08/2015,,1619801,Massimo Ruzzene,07030000,Directorate For Engineering,Directorate For Engineering,Ohio State University,Columbus,432101016,6146888735,Office of Sponsored Programs,United States,Ohio,OH
A Proposal of the Renewal of the Banff International Research Station for Mathematical Innovation and Discovery (BIRS),10/23/2015,09/30/2021,4398537,Standard Grant,10/26/2015,10/26/2015,,1600279,Christopher W. Stark,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Carnegie-Mellon University,PITTSBURGH,152133815,4122689527,5000 Forbes Avenue,United States,Pennsylvania,PA
"EAGER: Development of a Novel Double-resonance Fiber-laser-induced Fluorescence Instrument for Long-term, High-sensitivity, Interference-free Measurements of Hydroxyl Radical (OH)",02/01/2016,07/31/2016,43026,Standard Grant,01/20/2016,01/22/2016,,1625380,Sylvia A. Edgerton,06020104,Directorate For Geosciences,Directorate For Geosciences,Harvard University,Cambridge,021385366,6174955501,1033 MASSACHUSETTS AVE,United States,Massachusetts,MA
GEO Opportunities for Leadership in Diversity Ideas Lab,01/01/2016,12/31/2017,278071,Standard Grant,01/26/2016,01/26/2016,,1623688,Jill L. Karsten,06010000,Directorate For Geosciences,Directorate For Geosciences,American Society For Engineering Education,WASHINGTON,200362476,2023313500,1818 N ST NW STE 600,United States,District of Columbia,DC
SI2-SSE Collaborative Research: Molecular Simulations of Polymer Nanostructures in the Cloud,10/22/2015,09/30/2017,149283,Standard Grant,11/10/2015,11/10/2015,,1613155,Rajiv Ramnath,05090000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,University of Florida,GAINESVILLE,326112002,3523923516,1 UNIVERSITY OF FLORIDA,United States,Florida,FL
Scripps Institution of Oceanography/ROGER REVELLE Oceanographic Instrumentation,04/15/2016,03/31/2017,221599,Standard Grant,04/13/2016,04/13/2016,,1627850,James S. Holik,06040100,Directorate For Geosciences,Directorate For Geosciences,University of California-San Diego Scripps Inst of Oceanography,LA JOLLA,920930210,8585341293,8602 La Jolla Shores Dr,United States,California,CA
"Probing into the Role of Regulatory RNA, DNA Methylation and Associated Network Rewiring in Transgressive Segregation for Stress Tolerance in Rice",01/01/2016,06/30/2017,299049,Standard Grant,12/18/2015,12/18/2015,,1602494,C. Eduardo Vallejos,08090000,Direct For Biological Sciences,Direct For Biological Sciences,Texas Tech University,Lubbock,794091035,8067423884,349 Administration Bldg,United States,Texas,TX
PostDoctoral Research Fellowship,07/01/2016,06/30/2020,150000,Fellowship,04/01/2016,04/01/2016,,1606253,Victor Roytburd,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Weston Kimberly,Pittsburgh,15217,None,None,United States,Pennsylvania,PA
Materials Data Infrastructure: A Roadmap for Enabling Storage and Sharing of Data in the Materials Community,03/01/2016,02/28/2018,146000,Standard Grant,03/02/2016,03/02/2016,,1619577,Alexis Lewis,07030000,Directorate For Engineering,Directorate For Engineering,Minerals Metals & Materials Society,Warrendale,150867528,7248143178,184 Thorn Hill RD,United States,Pennsylvania,PA
TWC: TTP Option: Large: Collaborative: Towards a Science of Censorship Resistance,09/01/2015,08/31/2019,129519,Continuing grant,11/25/2015,11/25/2015,,1602399,Nina Amla,05050000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,Princeton University,Princeton,085442020,6092583090,Off. of Research & Proj. Admin.,United States,New Jersey,NJ
I-Corps: OneScope Development,02/15/2016,07/31/2016,50000,Standard Grant,02/16/2016,02/16/2016,,1624097,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,University of Louisville Research Foundation Inc,Louisville,402021959,5028523788,The Nucleus,United States,Kentucky,KY
AF: Large: Collaborative Research: Reliable Quantum Communication and Computation in the Presence of Noise,11/01/2015,08/31/2016,402930,Continuing grant,02/23/2016,03/10/2016,,1629809,Jack Snoeyink,05010000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,Massachusetts Institute of Technology,Cambridge,021394301,6172531000,77 MASSACHUSETTS AVE,United States,Massachusetts,MA
Summer School on Fractal Geometry and Complex Dimensions,01/01/2016,12/31/2016,44999,Standard Grant,11/23/2015,11/23/2015,,1600758,Bruce P. Palka,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,California Polytechnic State University Foundation,San Luis Obispo,934070830,8057562982,One Grand Ave,United States,California,CA
I-Corps: Commercialization of a Nanoparticle Concentration Apparatus,02/01/2016,07/31/2016,50000,Standard Grant,01/20/2016,01/20/2016,,1624030,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,Lehigh University,Bethlehem,180153005,6107583021,Alumni Building 27,United States,Pennsylvania,PA
I-Corps: Facial image analysis system,04/15/2016,09/30/2016,50000,Standard Grant,04/12/2016,04/12/2016,,1635174,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,Northeastern University,BOSTON,021155005,6173732508,360 HUNTINGTON AVE,United States,Massachusetts,MA
New Directions in the Qualitative Approach to Inverse Scattering Theory,08/01/2015,07/31/2018,220212,Standard Grant,01/07/2016,01/07/2016,,1602802,Lora Billings,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Rutgers University New Brunswick,Piscataway,088543925,8489320150,33 Knightsbridge Road,United States,New Jersey,NJ
EARS Principal Investigators Workshop,12/15/2015,11/30/2016,27263,Standard Grant,12/07/2015,12/07/2015,,1604191,Wenjing Lou,05050000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,The Software Defined Radio Forum Inc.,Reston,201900000,6048289846,12100 Sunset Hills Road,United States,Virginia,VA
"Non-Archimedean Techniques in Analysis, Dynamics, and Geometry",07/01/2016,06/30/2019,122453,Continuing grant,04/04/2016,04/04/2016,,1600011,Edward Taylor,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Michigan Ann Arbor,Ann Arbor,481091274,7347636438,3003 South State St. Room 1062,United States,Michigan,MI
"Student Support: 2016 Annual International Solid Freeform Fabrication Symposium; Austin, Texas; August 8-10, 2016",05/01/2016,04/30/2017,49800,Standard Grant,04/13/2016,04/13/2016,,1639406,Zhijian Pei,07030000,Directorate For Engineering,Directorate For Engineering,Pennsylvania State Univ University Park,UNIVERSITY PARK,168027000,8148651372,110 Technology Center Building,United States,Pennsylvania,PA
Doctoral Dissertation Improvement Award: Spatial Organization Within A Traditional Political System,04/01/2016,09/30/2016,23209,Standard Grant,03/31/2016,03/31/2016,,1623787,John E. Yellen,04040000,"Direct For Social, Behav & Economic Scie","Direct For Social, Behav & Economic Scie",Tulane University,NEW ORLEANS,701185698,5048654000,6823 ST CHARLES AVENUE,United States,Louisiana,LA
EAGER: Social Impact Modeling for Engineered Products,04/01/2016,03/31/2018,199991,Standard Grant,03/14/2016,03/14/2016,,1632740,Christiaan Paredis,07030000,Directorate For Engineering,Directorate For Engineering,Brigham Young University,Provo,846021231,8014226177,A-285 ASB,United States,Utah,UT
Collaborative Research: Nonlinear Ultrasonic Wave Mixing Techniques for Detecting Localized Fatigue Damage in Metallic Materials,10/01/2015,07/31/2017,138707,Standard Grant,12/18/2015,12/18/2015,,1613640,Massimo Ruzzene,07030000,Directorate For Engineering,Directorate For Engineering,Tufts University,Medford,021555807,6176273417,20 Professors Row,United States,Massachusetts,MA
PostDoctoral Research Fellowship,07/01/2016,06/30/2020,150000,Fellowship,04/01/2016,04/01/2016,,1606255,Bruce P. Palka,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Wake Preston D,Los Angeles,900951555,None,None,United States,California,CA
I-Corps: Mobile HealthLink Wearable Remote Health Monitoring System,12/01/2015,05/31/2016,50000,Standard Grant,12/01/2015,12/01/2015,,1612399,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,Wichita State University,Wichita,672600007,3169783285,1845 Fairmount,United States,Kansas,KS
"RAPID/Collaborative Research: Multi-Platform 3-D Data Preservation of Tornado Damage to Engineered Structures in Texas during November 16-17, 2015",03/15/2016,02/28/2017,6800,Standard Grant,03/14/2016,03/14/2016,,1623752,Joy Pauschke,07030000,Directorate For Engineering,Directorate For Engineering,Texas Tech University,Lubbock,794091035,8067423884,349 Administration Bldg,United States,Texas,TX
Advanced Membrane Technology Conference,03/15/2016,02/28/2017,49000,Standard Grant,03/10/2016,03/10/2016,,1607899,Nora Savage,07020000,Directorate For Engineering,Directorate For Engineering,"Engineering Conferences International, Inc.",New York,100041644,2125146760,32 Broadway,United States,New York,NY
GP EXTRA: Geoscience Educational Opportunities and Career-Oriented Research Experiences (GEOCORE),04/01/2016,03/31/2019,298688,Standard Grant,03/31/2016,03/31/2016,,1600353,Jill L. Karsten,06010000,Directorate For Geosciences,Directorate For Geosciences,Suffolk Community College,Selden,117842899,6314514760,533 College Road,United States,New York,NY
"Workshop series on research, education and workforce development efforts at Iowa State University to engage persons with disabilities",03/15/2016,02/28/2017,13920,Standard Grant,03/02/2016,03/02/2016,,1602515,Alexander Leonessa,07020000,Directorate For Engineering,Directorate For Engineering,Iowa State University,AMES,500112207,5152945225,1138 Pearson,United States,Iowa,IA
EAGER Germination: Aligning Stakeholders and Structures to Enable Risk Taking (ASSERT),04/15/2016,03/31/2017,99991,Standard Grant,03/30/2016,03/30/2016,,1629659,Garie A. Fordyce,07040000,Directorate For Engineering,Directorate For Engineering,Boise State University,boise,837251135,2084261574,1910 University Drive,United States,Idaho,ID
PostDoctoral Research Fellowship,07/01/2016,06/30/2020,150000,Fellowship,04/01/2016,04/01/2016,,1606445,Bruce P. Palka,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Trask Nathaniel A,Providence,02906,None,None,United States,Rhode Island,RI
CAREER: Multi-Physics Transient Holography: A Non-Intrusive Imaging Approach for the Identification of Structural Damage in Mechanical Systems,08/17/2015,08/31/2020,500000,Standard Grant,01/13/2016,01/13/2016,,1621909,Massimo Ruzzene,07030000,Directorate For Engineering,Directorate For Engineering,Purdue University,West Lafayette,479072114,7654941055,Young Hall,United States,Indiana,IN
"Rigidity in von Neumann Algebras: Connections and Applications to Orbit Equivalence, Geometric Group Theory, and Continuous Model Theory",07/01/2016,06/30/2019,116003,Continuing grant,03/25/2016,03/25/2016,,1600688,Bruce P. Palka,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Iowa,IOWA CITY,522421320,3193352123,2 GILMORE HALL,United States,Iowa,IA
33rd Ohio State-Denison Mathematics Conference on the Theory of Groups and Rings,02/15/2016,01/31/2017,16050,Standard Grant,02/11/2016,02/11/2016,,1602010,Timothy Hodges,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Colorado at Colorado Springs,Colorado Springs,809183733,7192553153,"1420, Austin Bluffs Parkway",United States,Colorado,CO
Collaborative Research: Bidirectional Effects Between Parental Work-Family Conflict and Adolescent Psychosocial Adjustment,01/01/2016,11/30/2017,98781,Standard Grant,02/24/2016,02/24/2016,,1629222,Helena Silverstein,04050000,"Direct For Social, Behav & Economic Scie","Direct For Social, Behav & Economic Scie","Georgia State University Research Foundation, Inc.",Atlanta,303023999,4044133500,G76Dahlberg Hall 30 Courtland St,United States,Georgia,GA
GOALI: Directed Self-Assembly of Linear and Star Block Copolymer Thin Films - Oriented Nanostructures with Reduced Feature Sizes via Raster Annealing,06/01/2016,05/31/2019,119442,Continuing grant,03/09/2016,03/09/2016,,1610134,Andrew J. Lovinger,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Delaware,Newark,197162553,3028312136,210 Hullihen Hall,United States,Delaware,DE
I-Corps: Commercialization of Novel Materials for Agricultural Ammonia Filtration,02/15/2016,07/31/2016,50000,Standard Grant,02/09/2016,02/09/2016,,1624046,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,Georgia Tech Research Corporation,Atlanta,303320420,4048944819,Office of Sponsored Programs,United States,Georgia,GA
CAREER: Approximate Computing Systems for Future Teraflops Workloads,08/21/2015,12/31/2016,91231,Continuing grant,10/14/2015,10/14/2015,,1600896,Tao Li,05010000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,University of Illinois at Urbana-Champaign,CHAMPAIGN,618207473,2173332187,SUITE A,United States,Illinois,IL
PFI:AIR-TT: Self-adaptive growing rod for the treatment of pediatric scoliosis,06/01/2016,11/30/2017,199098,Standard Grant,04/08/2016,04/08/2016,,1602045,Barbara H. Kenny,07070000,Directorate For Engineering,Directorate For Engineering,Texas A&M Engineering Experiment Station,College Station,778454645,9798477635,TEES State Headquarters Bldg.,United States,Texas,TX
DISSERTATION RESEARCH: Gastropod shells: A window into the developmental origins of diversity,06/01/2016,05/31/2018,11897,Standard Grant,04/04/2016,04/04/2016,,1601509,Paco Moore,08010207,Direct For Biological Sciences,Direct For Biological Sciences,University of Chicago,Chicago,606375418,7737028669,5801 South Ellis Avenue,United States,Illinois,IL
Enhancing Strain Transfer in Multiferroics through Pure Phase Functional Gradients,09/01/2015,07/31/2016,306732,Standard Grant,12/21/2015,12/21/2015,,1620313,Alexis Lewis,07030000,Directorate For Engineering,Directorate For Engineering,University of Michigan Ann Arbor,Ann Arbor,481091274,7347636438,3003 South State St. Room 1062,United States,Michigan,MI
WORKSHOP: The Pioneers Workshop at the 2016 ACM/IEEE International Conference on Human-Robot Interaction,03/01/2016,02/28/2017,33552,Standard Grant,02/19/2016,02/19/2016,,1632236,Ephraim P. Glinert,05020000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,University of Southern California,Los Angeles,900890001,2137407762,University Park,United States,California,CA
PostDoctoral Research Fellowship,07/01/2016,06/30/2020,150000,Fellowship,04/07/2016,04/07/2016,,1606460,Bruce P. Palka,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Perry Alexander R,Cambridge,021382901,None,None,United States,Massachusetts,MA
Exploration of Millisecond Exposures for Exoplanet Imaging,05/01/2016,04/30/2018,205727,Continuing grant,03/29/2016,03/29/2016,,1600138,Ralph A. Gaume Jr.,03020000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Michigan Ann Arbor,Ann Arbor,481091274,7347636438,3003 South State St. Room 1062,United States,Michigan,MI
Strengthening the GEO REU Network and sharing best practices with the STEM REU community,04/01/2016,03/31/2019,96390,Continuing grant,03/28/2016,03/28/2016,,1619600,Elizabeth Rom,06040100,Directorate For Geosciences,Directorate For Geosciences,University Corporation For Atmospheric Res,Boulder,803012252,3034971000,3090 Center Green Drive,United States,Colorado,CO
"IUTAM Symposium on Integrated Computational Structure-Material Modeling of Deformation and Failure under Extreme Conditions; Baltimore, Maryland; June 10-22, 2016",01/15/2016,12/31/2016,10840,Standard Grant,01/13/2016,01/13/2016,,1619978,Kara Peters,07030000,Directorate For Engineering,Directorate For Engineering,Johns Hopkins University,Baltimore,212182608,4105168668,3400 N CHARLES ST,United States,Maryland,MD
Support for GEC-24: The Twenty-Fourth GENI Engineering Conference,02/01/2016,07/31/2016,24627,Standard Grant,01/29/2016,01/29/2016,,1623811,John Brassil,05050000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,Arizona State University,TEMPE,852816011,4809655479,ORSPA,United States,Arizona,AZ
Algebraic Theory of Differential and Functional Equations: from Foundations to Computation,05/01/2016,04/30/2017,35000,Standard Grant,03/17/2016,03/17/2016,,1606334,Matthew Douglass,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,CUNY Queens College,Flushing,113671575,7189975400,65 30 Kissena Blvd,United States,New York,NY
Self-Healing Materials Enabled through Embedded Sensing and Stimulus Delivery,09/01/2015,04/30/2017,237133,Standard Grant,12/18/2015,12/18/2015,,1620328,Massimo Ruzzene,07030000,Directorate For Engineering,Directorate For Engineering,University of Michigan Ann Arbor,Ann Arbor,481091274,7347636438,3003 South State St. Room 1062,United States,Michigan,MI
I-Corps: Biomarker-assisted Breeding for Yield and Resilience of Commercial Shellfish Aquaculture in a Changing Ocean,01/01/2016,06/30/2016,50000,Standard Grant,12/17/2015,12/17/2015,,1606541,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,University of Southern California,Los Angeles,900890001,2137407762,University Park,United States,California,CA
"Diversifying CS with a Biology-themed Introductory CS Course at a Large, Diverse Public University",07/01/2016,06/30/2019,299525,Standard Grant,04/04/2016,04/04/2016,,1612113,Paul Tymann,11040000,Direct For Education and Human Resources,Direct For Education and Human Resources,University of Illinois at Chicago,Chicago,606124305,3129962862,809 S MARSHFIELD,United States,Illinois,IL
DISSERTATION RESEARCH: Quantifying the Strength of Spatial Coexistence Mechanisms in Experimental Metacommunities,04/15/2016,03/31/2018,19266,Standard Grant,03/24/2016,03/24/2016,,1601349,George Malanson,08010208,Direct For Biological Sciences,Direct For Biological Sciences,University of Colorado at Boulder,Boulder,803031058,3034926221,"3100 Marine Street, Room 481",United States,Colorado,CO
Collaborative Research: International Buyer-Seller Matches,09/14/2015,07/31/2017,97933,Standard Grant,11/23/2015,11/23/2015,,1616062,Georgia Kosmopoulou,04050000,"Direct For Social, Behav & Economic Scie","Direct For Social, Behav & Economic Scie",Pennsylvania State Univ University Park,UNIVERSITY PARK,168027000,8148651372,110 Technology Center Building,United States,Pennsylvania,PA
DISSERTATION RESEARCH: The conflicting effects of gene flow in a geographic mosaic of predator-prey coevolution,05/01/2016,04/30/2017,19979,Standard Grant,03/17/2016,03/17/2016,,1601296,Samuel M. Scheiner,08010207,Direct For Biological Sciences,Direct For Biological Sciences,University of Virginia Main Campus,CHARLOTTESVILLE,229044195,4349244270,P.O. BOX 400195,United States,Virginia,VA
"I-Corps: An Implantable, Bioresorbable Medical Device to Regenerate A Damaged Esophagus",04/01/2016,09/30/2016,50000,Standard Grant,03/23/2016,03/23/2016,,1636743,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,Tulane University,NEW ORLEANS,701185698,5048654000,6823 ST CHARLES AVENUE,United States,Louisiana,LA
Collaborative Research: Specification and Estimation of Exponential Family Random Graph Models for Weighted Networks,09/01/2015,03/31/2017,17813,Standard Grant,12/15/2015,12/15/2015,,1619644,Cheryl L. Eavey,04050000,"Direct For Social, Behav & Economic Scie","Direct For Social, Behav & Economic Scie",Pennsylvania State Univ University Park,UNIVERSITY PARK,168027000,8148651372,110 Technology Center Building,United States,Pennsylvania,PA
Structure-Function Correlations in a Type III Extradiol Dioxygenase,01/15/2016,08/31/2016,270272,Continuing grant,02/10/2016,02/10/2016,,1623856,David A. Rockcliffe,03090000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Texas at San Antonio,San Antonio,782499113,2104584340,One UTSA Circle,United States,Texas,TX
DISSERTATION RESEARCH: Untangling history and ecology to reconstruct the assembly of an iconic avifauna,06/01/2016,05/31/2017,20127,Standard Grant,03/24/2016,03/24/2016,,1601280,Samuel M. Scheiner,08010207,Direct For Biological Sciences,Direct For Biological Sciences,American Museum Natural History,New York,100245192,2127695975,Central Park West at 79th St,United States,New York,NY
DECAY AND WELL-POSEDNESS OF SOLUTIONS TO HYPERBOLIC PARTIAL DIFFERENTIAL EQUATIONS,02/01/2016,06/30/2017,103628,Standard Grant,03/01/2016,03/01/2016,,1636435,Bruce P. Palka,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Kentucky Research Foundation,Lexington,405260001,8592579420,109 Kinkead Hall,United States,Kentucky,KY
Collaborative Research: Speleothem records of permafrost thaw and paleoclimate in the North American Arctic,09/01/2016,08/31/2019,117761,Standard Grant,03/31/2016,03/31/2016,,1607816,"William J. Wiseman, Jr.",06090100,Directorate For Geosciences,Directorate For Geosciences,Boston College,Chestnut Hill,024673800,6175528000,140 Commonwealth Avenue,United States,Massachusetts,MA
Collaborative Research: Open Access Blended Learning Modules for Teaching Laboratory Methods: Developing Scientific Skills for Undergraduates,07/01/2016,06/30/2019,76667,Standard Grant,04/13/2016,04/13/2016,,1611917,Keith Sverdrup,11040200,Direct For Education and Human Resources,Direct For Education and Human Resources,Northern Virginia Community College,Annandale,220033743,7033233195,4001 Wakefield Chapel Road,United States,Virginia,VA
DISSERTATION RESEARCH: Evolution of polyploidy and storage roots in sweet potato and its wild relatives,06/01/2016,05/31/2017,19089,Standard Grant,03/09/2016,03/09/2016,,1601251,Simon Malcomber,08010206,Direct For Biological Sciences,Direct For Biological Sciences,University of Georgia Research Foundation Inc,ATHENS,306021589,7065425939,310 East Campus Rd,United States,Georgia,GA
"RAPID: GPS Observations of Co- and Post-seismic Deformation in the Argentine Andes, Precordillera, and Sierras Pampeanas from the 16 Sep 2015, Mw 8.3, Illapel, Chile, Earthquake",12/01/2015,11/30/2016,32924,Standard Grant,11/19/2015,11/19/2015,,1602764,David Fountain,06030103,Directorate For Geosciences,Directorate For Geosciences,University of Memphis,Memphis,381523370,9016782533,Administration 315,United States,Tennessee,TN
EAGER: Defining the SUMOylation System in Maize and its Roles in Stress Protection,10/01/2015,05/31/2016,54948,Standard Grant,03/15/2016,03/15/2016,,1623467,Anne Sylvester,08090000,Direct For Biological Sciences,Direct For Biological Sciences,Washington University,SAINT LOUIS,631304899,3147474134,CAMPUS BOX 1054,United States,Missouri,MO
Collaborative Research: A Combined Proxy and Model Investigation of Late Holocene Paleoclimate in the Horn of Africa,01/12/2016,07/31/2016,67430,Standard Grant,02/29/2016,02/29/2016,,1636445,Candace O. Major,06040200,Directorate For Geosciences,Directorate For Geosciences,University of Arizona,Tucson,857194824,5206266000,888 N Euclid Ave,United States,Arizona,AZ
Collaborative Research: P2C2--A 5-million-year Record of Western Mediterranean Sea Level Variability,05/01/2016,04/30/2019,317363,Standard Grant,04/05/2016,04/05/2016,,1602685,David J. Verardo,06020108,Directorate For Geosciences,Directorate For Geosciences,University of New Mexico,ALBUQUERQUE,871310001,5052774186,"1700 Lomas Blvd. NE, Suite 2200",United States,New Mexico,NM
Systems for Solar Fuels Generation Utilizing PV and Electrolysis,03/15/2016,02/28/2017,5000,Standard Grant,03/04/2016,03/04/2016,,1623464,Gregory Rorrer,07020000,Directorate For Engineering,Directorate For Engineering,University of Delaware,Newark,197162553,3028312136,210 Hullihen Hall,United States,Delaware,DE
GenCyber 2016 Collaboration,04/01/2016,03/31/2017,2500000,Interagency Agreement,04/08/2016,04/08/2016,,1638407,Victor P. Piotrowski,11010000,Direct For Education and Human Resources,Direct For Education and Human Resources,National Security Agency,Fort George G Meade,207556643,None,9800 Savage Road,United States,Maryland,MD
The 2016 NAACL Student Research Workshop,12/15/2015,11/30/2016,15000,Standard Grant,12/01/2015,12/01/2015,,1616950,Tatiana D. Korelsky,05020000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,Brandeis University,WALTHAM,024532728,7817362121,415 SOUTH ST MAILSTOP 116,United States,Massachusetts,MA
PostDoctoral Research Fellowship,07/01/2016,06/30/2020,150000,Fellowship,04/01/2016,04/01/2016,,1606451,Bruce P. Palka,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Truong Linh M,Princeton,085401000,None,None,United States,New Jersey,NJ
"Workshop on Clusters, Clouds and Data Analytics in Scientific Computing",03/15/2016,02/28/2017,24075,Standard Grant,03/01/2016,03/01/2016,,1606551,Rudolf Eigenmann,05090000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,University of Tennessee Knoxville,KNOXVILLE,379960003,8659743466,1 CIRCLE PARK,United States,Tennessee,TN
GEM: Study the Precipitation of Radiation Belt Electrons during the Rapid Dropout Events,10/01/2015,05/31/2017,152286,Continuing grant,03/23/2016,03/23/2016,,1613081,Janet U. Kozyra,06020202,Directorate For Geosciences,Directorate For Geosciences,West Virginia University Research Corporation,Morgantown,265066845,3042933998,P.O. Box 6845,United States,West Virginia,WV
AF: 4th Workshop on Biological Distributed Algorithms (BDA 2016),07/01/2016,12/31/2016,10000,Standard Grant,02/04/2016,02/04/2016,,1624201,Mitra Basu,05010000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,The Salk Institute for Biological Studies,LA JOLLA,920371002,8584534100,10010 N TORREY PINES RD,United States,California,CA
Collaborative Research: PIM/GMM--Micro-Manufacturing of Ceramics by Combining Powder Injection Molding and Green Micromachining,11/01/2015,04/30/2016,36955,Standard Grant,01/13/2016,01/13/2016,,1623493,Mary M. Toney,07030000,Directorate For Engineering,Directorate For Engineering,University of Louisville Research Foundation Inc,Louisville,402021959,5028523788,The Nucleus,United States,Kentucky,KY
Support for 2016 Workshop on EFRI-ODISSEI Research,02/01/2016,07/31/2016,16808,Standard Grant,01/27/2016,01/27/2016,,1623796,Garie A. Fordyce,07040000,Directorate For Engineering,Directorate For Engineering,Florida International University,Miami,331990001,3053482494,11200 SW 8TH ST,United States,Florida,FL
LUX Operations at the Sanford Underground Research Facility,10/01/2015,06/30/2017,83636,Continuing grant,03/17/2016,03/17/2016,,1636738,James J. Whitmore,03010000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of California-Berkeley,BERKELEY,947045940,5106428109,Sponsored Projects Office,United States,California,CA
Houston Summer School on Dynamical Systems,04/01/2016,03/31/2017,49000,Standard Grant,12/11/2015,12/11/2015,,1600737,Bruce Kitchens,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Houston,Houston,772042015,7137435773,4800 Calhoun Boulevard,United States,Texas,TX
MRI: Acquisition of an Ultra Small-Angle X-ray Scattering Instrument for Multidisciplinary Materials Research,10/21/2015,07/31/2017,275000,Standard Grant,03/17/2016,03/17/2016,,1637075,Leonard Spinu,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Dayton,DAYTON,454690104,9372292919,300 COLLEGE PARK AVE,United States,Ohio,OH
Applications of Non-Equilibrium Statistical Physics to Collective Phenomena in Materials and Complex Systems,09/01/2015,08/31/2016,160696,Continuing grant,01/15/2016,01/15/2016,,1623243,Daryl W. Hess,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Santa Fe Institute,SANTA FE,875018943,5059462756,1399 HYDE PARK ROAD,United States,New Mexico,NM
"Workshop: 2016 NSF CAREER Proposal Writing Workshop; St. Louis, Missouri; March 21-22, 2016",02/15/2016,01/31/2018,38000,Standard Grant,02/12/2016,02/12/2016,,1627399,George A. Hazelrigg,07030000,Directorate For Engineering,Directorate For Engineering,Kansas State University,MANHATTAN,665061103,7855326804,2 FAIRCHILD HALL,United States,Kansas,KS
Research Initiation Award: Leveraging Protein Structure Determination: An Efficient Algorithmic Approach,04/01/2016,03/31/2019,300000,Standard Grant,03/11/2016,03/11/2016,,1600919,Martha L. James,11060000,Direct For Education and Human Resources,Direct For Education and Human Resources,Tennessee State University,Nashville,372091561,6159637631,3500 John A. Merritt Blvd.,United States,Tennessee,TN
Finger Lakes Probability Seminar,04/01/2016,03/31/2017,7439,Standard Grant,03/17/2016,03/17/2016,,1601016,Frederi Viens,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Cornell University,Ithaca,148502820,6072555014,373 Pine Tree Road,United States,New York,NY
