awardtitle,awardeffectivedate,awardexpirationdate,awardamount,awardinstrument,minamdletterdate,maxamdletterdate,arraamount,awardid,programofficer,organizationcode,organizationdirectorate,organizationdivision,institutionname,institutioncityname,institutionzipcode,institutionphonenumber,institutionstreetaddress,institutioncountryname,institutionstatename,institutionstatecode
Student Travel Support for the 14th USENIX File and Storage Technologies conference (FAST 2016),01/01/2016,06/30/2016,20000,Standard Grant,11/24/2015,11/24/2015,,1600140,M. Mimi McClure,05050000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,SUNY at Stony Brook,Stony Brook,117940001,6316329949,WEST 5510 FRK MEL LIB,United States,New York,NY
Conference on Combinatorial Structure in Hypercubes,04/01/2016,03/31/2017,33884,Standard Grant,03/17/2016,03/17/2016,,1623286,Jacques Verstraete,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Western Washington University,Bellingham,982259038,3606502884,516 High Street,United States,Washington,WA
Student Travel Support for ACM MobiHoc 2016,04/01/2016,03/31/2017,20000,Standard Grant,03/09/2016,03/09/2016,,1631979,Wenjing Lou,05050000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,Northeastern University,BOSTON,021155005,6173732508,360 HUNTINGTON AVE,United States,Massachusetts,MA
Collaborative Research: Open Access Blended Learning Modules for Teaching Laboratory Methods: Developing Scientific Skills for Undergraduates,07/01/2016,06/30/2019,198840,Standard Grant,04/13/2016,04/13/2016,,1611798,Keith Sverdrup,11040000,Direct For Education and Human Resources,Direct For Education and Human Resources,James Madison University,HARRISONBURG,228077000,5405686872,MSC 5728,United States,Virginia,VA
Conference support: ICCM 2016: International Conference on Cognitive Modeling,06/01/2016,05/31/2017,15480,Standard Grant,03/14/2016,03/14/2016,,1613241,Betty H. Tuller,04040000,"Direct For Social, Behav & Economic Scie","Direct For Social, Behav & Economic Scie",Pennsylvania State Univ University Park,UNIVERSITY PARK,168027000,8148651372,110 Technology Center Building,United States,Pennsylvania,PA
Quantifying the Polymer Physics of Mechanical Deformation in Ultra-thin Polymer Glasses,05/01/2016,04/30/2019,135000,Continuing grant,03/08/2016,03/08/2016,,1608614,Andrew J. Lovinger,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Massachusetts Amherst,AMHERST,010039242,4135450698,Research Administration Building,United States,Massachusetts,MA
COLLABORATIVE RESEARCH: Understanding Youth Engagement in the Plea Process: Predictors and Consequences,09/01/2015,08/31/2018,130719,Continuing grant,11/16/2015,11/16/2015,,1603944,Helena Silverstein,04050000,"Direct For Social, Behav & Economic Scie","Direct For Social, Behav & Economic Scie",George Mason University,FAIRFAX,220304422,7039932295,4400 UNIVERSITY DR,United States,Virginia,VA
Improving agricultural practices for sustainable development,07/01/2015,12/31/2016,242769,Standard Grant,11/23/2015,11/23/2015,,1602747,Fahmida N. Chowdhury,04050000,"Direct For Social, Behav & Economic Scie","Direct For Social, Behav & Economic Scie",Trustees of Boston University,BOSTON,022151300,6173534365,881 COMMONWEALTH AVE,United States,Massachusetts,MA
I-Corps: Hybrid Protein Graphene Electrodes for Supercapacitors,02/15/2016,07/31/2016,50000,Standard Grant,02/05/2016,02/05/2016,,1620998,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,University of California-Davis,Davis,956186134,5307547700,OR/Sponsored Programs,United States,California,CA
Commutative Algebra and Its Interactions with Algebraic Geometry,05/01/2016,04/30/2017,49200,Standard Grant,01/29/2016,01/29/2016,,1600665,Timothy Hodges,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Michigan Ann Arbor,Ann Arbor,481091274,7347636438,3003 South State St. Room 1062,United States,Michigan,MI
DISSERTATION RESEARCH: Proximate Mechanisms of Aggression in Role Reversed Species,06/01/2016,05/31/2017,18779,Standard Grant,03/25/2016,03/25/2016,,1601576,Jodie Jawor,08090500,Direct For Biological Sciences,Direct For Biological Sciences,Tulane University,NEW ORLEANS,701185698,5048654000,6823 ST CHARLES AVENUE,United States,Louisiana,LA
Lake Michigan Workshop on Combinatorics and Graph Theory,03/15/2016,02/28/2017,15000,Standard Grant,03/17/2016,03/17/2016,,1600382,Jacques Verstraete,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Purdue University,West Lafayette,479072114,7654941055,Young Hall,United States,Indiana,IN
Novel Nanoporous Materials: In Silico Design,08/15/2015,08/31/2016,103355,Standard Grant,03/09/2016,03/09/2016,,1604376,Daryl W. Hess,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Florida,GAINESVILLE,326112002,3523923516,1 UNIVERSITY OF FLORIDA,United States,Florida,FL
Texas-Oklahoma Representations and Automorphic Forms Conference Series,02/01/2016,01/31/2019,13000,Standard Grant,01/26/2016,01/26/2016,,1600473,Timothy Hodges,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Oklahoma State University,Stillwater,740781011,4057449995,101 WHITEHURST HALL,United States,Oklahoma,OK
ERA SynBio: Design and Synthesis of a Bio-orthogonal Genetic System,10/01/2015,07/31/2018,619997,Standard Grant,11/05/2015,11/05/2015,,1607111,Susanne von Bodman,08070700,Direct For Biological Sciences,Direct For Biological Sciences,University of California-Irvine,Irvine,926173067,9498244768,"5171 California Avenue, Ste 150",United States,California,CA
EAGER: Opto-Radiometric Powered Untethered MEMS Microfliers,04/01/2016,03/31/2018,246484,Standard Grant,03/15/2016,03/15/2016,,1620282,Jordan Berg,07030000,Directorate For Engineering,Directorate For Engineering,University of Illinois at Chicago,Chicago,606124305,3129962862,809 S MARSHFIELD,United States,Illinois,IL
